make,model
Cessna,501
Schweizer,2-33A
Schweizer,SGS 1-26B
Pratt-read,PRG-1
Raven,RX-7
Schweizer,SGS2-33A
Let,L-13
Rolladen-schneider,LS-4
Schweizer,SGS-2-33A
Schempp-hirth,NIMBUS II
Schaffer-provencher,UW
Schempp-hirth,STANDARD CIRRUS
Barnes,AX-6B
Glasflugel,H-301
Balloon Works,FIREFLY 7
Monerai,SAILPLANE
I.c.a. Brasov,IS-29D2
Balloon Works,FIRE FLY 7
Schempp-hirth,CIRRUS
Flug-und Fahrzeugwerke (ffa),DIAMANT
Piccard,AX-6
Schweizer,1-36
Balloon Works,FIREFLY 8-24
Laister,LK10
Berkshire,CONCEPT 70
Balloon Works,FIREFLY AX-7
Eiriavion Oy,PIK-20B
Schweizer,SGS 1-35C
Schweizer,SGS 1-26F
Semco,SEM 182
Burkhart Grob,FLUGZEUGBAU G103
Schweizer,SGS 2-33A
Raven,S-55A
Schweizer,SGS 1-34
Schweizer,SGS 1-23
Adams,AB
Schreder,HP-18
Schweizer,SGS 1-26D
Burkhart Grob,G103
Schweizer,SGS1-36
Lark Aviation,IS28B2
Schweizer,SGU-22
Balloon Works,FIRE FLY 8-24
Schweizer,SGS1-26C
Molino Oy,PIK-20B
Bryan,RS-15
B??lkow,PHOEBUS A-1
Rolladen-schneider,LS-4A
Eiriavion Oy,PIK 20D
Schweizer,SGS1-26D
Barnes,FIREFLY 7
Schleicher,AS-K13
Schweizer,SGS 1-26E
Barnes,AX-7
Glasflugel,LIBELLE
Schleicher,ASW-15
Schempp-hirth,VENTUS A
Schleicher,ASW 20 B
Schleicher,ASW12
Schweizer,SGS 1-36
Schweizer,SGU2-22E
Avian Balloon,AX8
Raven,S-66A
Raven,S-60A
General Balloon,AX-6
Balloon Works,FIREFLY 7B
Cirrus,STANDARD CIRRUS
Centrair,101A
Schempp-hirth,VENTUS-B
Schweizer,SGS-1-26B
Schweizer,SGS-233
Briegleb Amature Built,BG-12-BD
Burkhart Grob,G-103-II AERO
I.c.a. Brasov,IS-28B2
Schweizer,SGS 1-26
Balloon Works,FIREFLY 8
Bryan,HP-14
Schweizer,SGS 1-26C
Raven,S60A
Cameron,0-77
Burkhart Grob,103
Balloon Works,8B
Burkhart Grob,102
Centrair,SCHLEICHER ASW-20
Rolladen-schneider,L53
Schweizer,2-32
Schweizer,SGS 1-26A
Eiriavion Oy,PIK 20-D
Schweizer,SGS 2-32
Schweizer,SGS-2-32A
Avian,SKYHAWK
H. Preiss,HP-19C
Andrew D. Moore,HP-18
Schleicher,ASW-19
Schleicher,ASW-20B
Schleicher,ASW-20
Glasflugel,ST LIBELLE
Cherry,HP16
Rolladen-schneider,LS-6
Raven,AERO STAR S-66A
Scheibe Flugzeugbau,BERGFALKE II-55
Balloon Works,FF-7
Schweizer,SGS 2-33
Burkhart Grob,G103 TWIN II
Raven,S55A/AX7
Burkhart Grob,G103 TWIN ASTIR
Glaser-dirks,DG-400
Balloon Works,FIREFLY 7-B
Prue Standard,UNKNOWN
Balloon Works,BARNES FF-8-24
Raven,S-77A
Piper,PA 16
Eagle Aircraft Co.,C-7
Schweizer,SGS2-33
Pik,20
Schleicher,KA-6-CR
Concept,70
Balloon Works,FIREFLY 8B
Aerostar,RX-7
Burkhart Grob,G102-111B
Schleicher,K8B
Raven,S77A
William M. Burge,TERN
Burkhart Grob,G-102
Slingsby,DART T-51
Balloon Works,AX-8B
Aerostar,S-60A
Slingsby,T59D KESTREL 19
I.c.a. Brasov,IS-29D
Schempp-hirth,DISCUS A
Raven,RX-6
Schweizer,SGS-1-26E
Schweizer,TG3A
Raven,RALLY II
Schweizer,SGU-2-22E
Let,L13
Schempp-hirth,DISCUS-B
Cameron,A-140
"Head Balloons, Inc.",AX8-88
Glaser-dirks,DG-101
Schweizer,1-26
Schweizer,1-23
Flug-und Fahrzeugwerke (ffa),DIAMENT 16.5
Balloon Works,FIREFLY 6B
Balloon Works,FIREFLY-7
Balloon Works,FIREFLY
Monett,MONARAI
Cameron,V-77
Schweizer,SGS-1-35C
Cameron,N105
Cameron,O-105
Schweizer,S2-33A
Balloon Works,7B
Adams,A60S
Schweizer,1-26E
Rolladen-schneider,LSIF SAILPLANE
Rolladen-schneider,LS-3A
Schempp-hirth,VENTUS B/16.6
Aerostar,S-66A
Piccard,P-80
Rolladen-schneider,LS-3
Glasflugel,H 301 LIBELLE
Rolladen-schneider,LS3-A
Schleicher,ASK-21
Thunder And Colt,AX9-140 SLI
Schweizer,SGS 1-35
Cameron,O-84
Cameron,N120
Schleicher,ASW-22
Schweizer,SGS1-26-D
Glasflugel,LIBELLE 201B
Burkhart Grob,G103B
I.c.a. Brasov,LARK I-28-B2
Robinson,R22
Mbb,BO-105
Molino Oy,PIK-20
Pilatus,B4-PC11AF
Burkhart Grob,G-103 TWIN ASTIR
Let,BLANIK L-13
Swift,S-1
Raven,RALLY RX7
Furche-bielsko,SZD-48 JANTAR
Schweizer,2-33-A
Pzl-bielsko,SZD-55-1
"Head Balloons, Inc.",AX9-118
De Havilland,U6A
Cessna,210
Cameron,ET-90
Bell,206B
Hiller,UH-12E
Hughes,269A
Let,SUPER BLANIK L-33
Burkhart Grob,BG 103
"Townsend, H.l.",BRIEGLED BG-12A
Burkhart Grob,6103 TWIN ASTIR
Schempp-hirth,VENTUS-C
Wsk Pzl Krosno,KR-03A
Burkhart Grob,G 103 TWIN II
Glasflugel,STANDARD LIBELLE
Bell,47G3B1
Prue Irving Owen,160
Cameron,CAN-56
Mcdonnell Douglas,OH-6A
