make,model
cessna,501
schweizer,2-33A
schweizer,SGS 1-26B
pratt-read,PRG-1
raven,RX-7
schweizer,SGS2-33A
let,L-13
rolladen-schneider,LS-4
schweizer,SGS-2-33A
schempp-hirth,NIMBUS II
schaffer-provencher,UW
schempp-hirth,STANDARD CIRRUS
barnes,AX-6B
glasflugel,H-301
balloon works,FIREFLY 7
i.c.a. brasov,IS-29D2
balloon works,FIRE FLY 7
schempp-hirth,CIRRUS
flug-und fahrzeugwerke (ffa),DIAMANT
piccard,AX-6
schweizer,1-36
balloon works,FIREFLY 8-24
laister,LK10
berkshire,CONCEPT 70
balloon works,FIREFLY AX-7
eiriavion oy,PIK-20B
schweizer,SGS 1-35C
schweizer,SGS 1-26F
semco,SEM 182
burkhart grob,FLUGZEUGBAU G103
schweizer,SGS 2-33A
raven,S-55A
schweizer,SGS 1-34
schweizer,SGS 1-23
adams,AB
schweizer,SGS 1-26D
burkhart grob,G103
schweizer,SGS1-36
lark aviation,IS28B2
schweizer,SGU-22
balloon works,FIRE FLY 8-24
schweizer,SGS1-26C
molino oy,PIK-20B
b??lkow,PHOEBUS A-1
eiriavion oy,PIK 20D
schweizer,SGS1-26D
barnes,FIREFLY 7
schleicher,AS-K13
schweizer,SGS 1-26E
barnes,AX-7
glasflugel,LIBELLE
schleicher,ASW-15
schempp-hirth,VENTUS A
schleicher,ASW 20 B
schleicher,ASW12
schweizer,SGS 1-36
schweizer,SGU2-22E
avian balloon,AX8
raven,S-66A
raven,S-60A
general balloon,AX-6
balloon works,FIREFLY 7B
cirrus,STANDARD CIRRUS
centrair,101A
schempp-hirth,VENTUS-B
schweizer,SGS-1-26B
schweizer,SGS-233
burkhart grob,G-103-II AERO
i.c.a. brasov,IS-28B2
schweizer,SGS 1-26
balloon works,FIREFLY 8
schweizer,SGS 1-26C
raven,S60A
cameron,0-77
burkhart grob,103
balloon works,8B
burkhart grob,102
centrair,SCHLEICHER ASW-20
rolladen-schneider,L53
schweizer,2-32
schweizer,SGS 1-26A
eiriavion oy,PIK 20-D
schweizer,SGS 2-32
schweizer,SGS-2-32A
avian,SKYHAWK
schleicher,ASW-19
schleicher,ASW-20B
schleicher,ASW-20
glasflugel,ST LIBELLE
rolladen-schneider,LS-6
raven,AERO STAR S-66A
scheibe flugzeugbau,BERGFALKE II-55
balloon works,FF-7
schweizer,SGS 2-33
burkhart grob,G103 TWIN II
raven,S55A/AX7
burkhart grob,G103 TWIN ASTIR
glaser-dirks,DG-400
balloon works,FIREFLY 7-B
balloon works,BARNES FF-8-24
raven,S-77A
piper,PA 16
eagle aircraft co.,C-7
schweizer,SGS2-33
pik,20
schleicher,KA-6-CR
balloon works,FIREFLY 8B
aerostar,RX-7
burkhart grob,G102-111B
schleicher,K8B
raven,S77A
burkhart grob,G-102
slingsby,DART T-51
balloon works,AX-8B
aerostar,S-60A
slingsby,T59D KESTREL 19
i.c.a. brasov,IS-29D
schempp-hirth,DISCUS A
raven,RX-6
schweizer,SGS-1-26E
schweizer,TG3A
raven,RALLY II
schweizer,SGU-2-22E
let,L13
schempp-hirth,DISCUS-B
cameron,A-140
"head balloons, inc.",AX8-88
glaser-dirks,DG-101
schweizer,1-26
schweizer,1-23
flug-und fahrzeugwerke (ffa),DIAMENT 16.5
balloon works,FIREFLY 6B
balloon works,FIREFLY-7
balloon works,FIREFLY
cameron,V-77
schweizer,SGS-1-35C
cameron,N105
cameron,O-105
schweizer,S2-33A
balloon works,7B
adams,A60S
schweizer,1-26E
rolladen-schneider,LSIF SAILPLANE
rolladen-schneider,LS-3A
schempp-hirth,VENTUS B/16.6
aerostar,S-66A
piccard,P-80
rolladen-schneider,LS-3
glasflugel,H 301 LIBELLE
rolladen-schneider,LS3-A
schleicher,ASK-21
thunder and colt,AX9-140 SLI
schweizer,SGS 1-35
cameron,O-84
cameron,N120
schleicher,ASW-22
schweizer,SGS1-26-D
glasflugel,LIBELLE 201B
burkhart grob,G103B
i.c.a. brasov,LARK I-28-B2
robinson,R22
mbb,BO-105
molino oy,PIK-20
pilatus,B4-PC11AF
burkhart grob,G-103 TWIN ASTIR
let,BLANIK L-13
swift,S-1
raven,RALLY RX7
furche-bielsko,SZD-48 JANTAR
schweizer,2-33-A
pzl-bielsko,SZD-55-1
"head balloons, inc.",AX9-118
de havilland,U6A
cameron,ET-90
bell,206B
hiller,UH-12E
hughes,269A
let,SUPER BLANIK L-33
burkhart grob,BG 103
burkhart grob,6103 TWIN ASTIR
schempp-hirth,VENTUS-C
wsk pzl krosno,KR-03A
burkhart grob,G 103 TWIN II
glasflugel,STANDARD LIBELLE
bell,47G3B1
cameron,CAN-56
mcdonnell douglas,OH-6A
bell,206-B3
schweizer,SGS2-32
schweizer,2-33
continental copters,MK 5 TOMCAT
eiriavion oy,PIK20D-78
lockheed,P2V-7
piper,PA-28
rolladen-schneider,LS-4A
thunder and colt,120A
bell,206B-III
bellanca,BL28
de havilland,DHC-6-300
schweizer,SGS 1-34R
cessna,172Q
balloon works,FIRE FLY 7-15
bell,206L3
schleicher,ASW15B
cessna,185
bell,206L4
semco,CHALLENGER
raven,S100A
cessna,U-206G
cessna,T210N
thunder and colt,TC-180
glaser-dirks,DG-600
mcdonnell douglas,369E
burkhart grob,103A
burkhart grob,G-103
rockwell,X31
cessna,180
burkhart grob,TWIN ASTIR
burkhart grob,G102 ASTIR CS
aerotek,ZUNI
de havilland,DHC-3
schweizer,300C
schweizer,SC2-33A
let,L-23 SUPER BLANIK
b??lkow,PHOEBUS C
aerostar,S-77A
