make,model
cessna,501
schweizer,1-36
piper,PA 16
cessna,172N
schempp-hirth,Discus CS
schweizer,SGS 1-26E
lockheed,L1011
schweizer,2-33A
schleicher,ASW-20
raven,S55A
let,L-23
schweizer,SGS 1-34
schweitzer,136
aerostar,RX-8
piper,PA-28-181
raven,S60A
schempp-hirth,Nimbus 3/24.5
rolladen-schneider,LS3-A
burkhart grob,G 103 Twin II
schleicher,ASW-20C
cessna,185
burkhart grob,G102 STD ASTIR III
blanik,L-13
schweizer,SGS 1-26B
pdps pzl-bielsko,SZD-55-1
i.c.a. brasov,IS-28B2
cameron balloons,Shuttle 90
let,Blanik L-13
schleicher,ASK-21
balloon works,Firefly 8B-15
schweizer,SGS 1-35
boeing,757
boeing,757-200
aviastrottel,AC 4C
let,33
let,Blanik L 33 Solo
cameron,105
worner,1000 STU
aerostar international inc,S81A
thunder and colt,AX8-90
aerostar,Raven S57-A
aerostar,RXS-8
aerostar,SA-60A
cameron balloons,A-105
cameron balloon,A-210
schleicher,ASW-19
eiriavion oy,PIK 20D
burkhart grob,G102 Club Astir IIIB
flugzeugbau,DG-200
cameron balloons us,N-145
schweizer,SGS 2-33A
schweizer,SGS 2-32
schweizer,SGS 1-26A
schleicher,AS-W19
avian,Magnum IX
cessna,172R
cessna,172P
wsk pzl,PW-5
burkhart grob,G103
glaser-dirks-flugzeubau,DG-100G
cessna,210F
schleicher,ASK21
wsk pzl swidnik,PW-5
"head balloons, inc.",AX8-88
burkhart grob,G103 TWIN ASTIR
schleicher,ASW-27
schweizer,1-26B
schempp-hirth k.g.,Nimbus-2C
let,BLANIK L-13
piper,PA-30
schempp-hirth,Standard Cirrus
ab sportine aviacija,Genesis 2
schweizer,SGS-126E
schempp-hirth,Ventus-B
piper,PA 32R-301T
i.c.a. brasov,IS-28-B2
pzl-bielsko,SZD-42-2 JANTAR
schempp-hirth,KA8B
british aircraft corp. (bac),Concorde
aerostar international inc.,S-71A
aerostar,RX-7
aerospatiale,Concorde
schempp-hirth,DISCUS-2B
schempp-hirth,Cirrus
pilatus,B4-PC11AF
glasflugel,Libelle 201B
pzl-bielsko,SZD-50-3
burkhart grob,G102 Standard III
cessna,182J
adams balloon,A55
schleicher,ASW-27B
schleicher,ASW28
quicksilver,MXL II
national ballooning ltd,858
rolladen-schneider,LS-4
grob,G103 Twin Astir
cessna,182P
start & flug,H101
schempp-hirth,Ventus B/16.6
let,L-13 Blanik
pzl,PW-5
cessna,180
balloon works inc,FIREFLY II
firefly balloons,Galaxy 11B
embraer,135
balloon works,Firefly 11
raven industries,Rally RX7
glasflugel,STD Libelle 201B
pdps pzl-bielsko,SZD-50-3
firefly,F8B
cessna,208B
szd,Jantar 42-1
lindstrand balloons,180A
cameron balloons,N90
start & flug,H-101 Salto
caproni vizzola cos. aero.,A-21
balloon works,Fire Fly 9
schweizer,1-35
apco,Powered Parachute
aerostar,S53H
burkhart grob,G-103A Twin II Acro
avian,Falcon II
schweizer,SGS 2-33
glasflugel,H301
champion,7ECA
schleicher,K6-CR
firefly,Galaxy 9
aerostar,S-60A
worner balloon works,NL-1000
thunder and colt,AA-1050
aerostar,SP-1
canadair,CL-600
cessna,P210N
bell,UH-1H
schweizer,SGS1-26B
dgflugzeugbau,DG-800S
schleicher,ASW 27
glaser-dirks,DG 600
schleicher,ASW19b
cameron balloons,A-210
schempp-hirth,Discus 2b
aerostar international inc.,S53A
aerostar,S-57A
s.a. centrair,Pegase 101D
elan,DG 300
burkhart grob,G103 Twin Astir
avia stroitel,AC-4B
pzl swidnik,PW-5
grob,G103
as+ ltd,AC4
let,L 33 Solo
national ballooning,751-12
schleicher,ASW-27b
burkhart grob flugzeugbau,G102 Club Astir IIIB
schweizer,SGS-2-32
schweizer,SGS2-33A
schweizer,SGS-2-33A
1200,G103
elan/glaser dirks,DG-300
dirks glaser,DG-300
cameron balloons,N-180
schewizer,233
airbus,A319
pzl-swidnik,PW-5
let,L13 AC Blanik
schleicher,ASW-19B
schempp-hirth,Ventus-2C
schempp-hirth,Discus B
schweizer,SGS 1-26D
allstar pzl,SZD 51-1 Junior
schleicher,ASW-24
burkhart grob flugzeugbau,G103 Twin Astir
caproni vizzola cos. aero.,Calif A-21
piper,PA-44-180
rolladen-schneider gmbh,LS-3
lindstrand balloons,105A
eiriavion oy,PIK 20B
rolladen-schneider,LS3A
let,SUPER BLANIK L-23
shempp-hirth,Discuss B
burkhart grob,G-103A
schleicher,ASW27-18
glaser dirks,DG 300
letecky zavody,L-23 Super Blanik
adams,A55S
windward,OWL
strategie ballloon co.,Amazon
boeing,737-300
schleicher,AS-K13
general balloon corp.,AX-6
schweizer,SGS 2-3C
boeing,737-700
szybowcowy zaklad do,SZD-36A
arbc inc,150A
glaser-dirks,DG 505 Elan
rolladen-schneider,LS8-18
burkhart grob,G102 CLUB ASTIR IIIB
cameron balloons,A-250
burkhart grob,G103 Twin II
centrair,101C
burkhart grob flugzeugbau,G103
i.c.a.-brasov,IS-28B2
piper,PA38
burkhart grob,G102 Std Astir III
piaggio industrie,P180
let,Super Blanik L-23
burkhart grob flugzeugbau,Speed Astir II
schempp-hirth,Discus-CS
cameron balloons,Z-77
burkhart grob flugzeugbau,G102 Astir CS
burkhart grob flugzeugbau,G102 ASTIR CS
schweizer,SGS 1-35C
schweizer,SGS 1-26C
slingsby,Swallow Type T.45
de havilland,DHC-2 MK1
cameron balloons,O-77
ultra magic,M-56C
aerostar,S-66A
aerostar,RX 8
cameron balloons,Z-105
let,L-33 Solo
mooney,M20J
boeing,B747-433BCF
embraer,145
piper,PA-28-161
burkhart grob,G-103A TWIN II ACRO
beech,A36
piper,PA-34-200T
balloon works,Firefly 9
siai-marchetti,SF-260
fantasy air,Allegro
boeing,747
cameron balloons,C-100
a. schleicher gmbh & co.,ASW 27-18
just aircraft,HIGHLANDER
schweizer,S6S 2-33
glasflugel,Standard Libelle
bell,UH-1B
aerostar international inc,S-77A
schempp-hirth,Ventus A
glaser-dirks flugzeugbau,DG-100G
"head balloons, inc.",AX9-118
piper,PA32
schempp-hirth,Ventus 2A
i.c.a.-brasov,IS-26B2
balloon works,Firefly 7-15
piper,PA46-500TP
schleicher,ASW-20B
cameron,ZL-60
cessna,150L
lindstrand balloons,150A
robinson,R22B
cameron balloons,Z-150
glasflugel,H-301
piper,PA28-140
cameron balloons us,N-77
quicksilver,MX II Sprint
flight design gmbh,CTSW
diamond aircraft ind inc,DA42
let,Blanik
cessna,182T
holmes william e,PREDATOR
cessna,170
cessna,172
lange flugzeugbau gmbh,E1 ANTARES
hughes,369D
bombardier inc,CL-600-2B19
ercoupe,415-D
boeing,737-524
cirrus design corp,SR22
cameron balloons us,V-90
cameron balloons,V-77
bombardier,CRJ
diamond aircraft ind inc,DA 20-C1
robinson,R22
aerostar international inc,RAVEN S49A
let,L-23 Super Blanik
glasflugel,H201B
embraer,EMB-135
ab sportine aviacija,LAK-17A
burkhart grob,G103C TWIN III ACRO
aerostar international inc,RX-9
rolladen-schneider ohg,LS3-A
piper aircraft inc,PA-46-350P
cessna,150
pdps pzl-bielsko,SZD-59
boeing,737
schweizer,SGU 2-22CK
let,L13
schempp hirth,DISCUS CS
piper,PA-46-350P
jonker,JS-1B
burkhart grob,G-103A TWI
boeing,767
aerostar international,RX-7
cameron,Z77
aerostar international,RX8
boeing,MD
dassault falcon,20C
piper,PA-25-235
nanchang china,CJ-6A
head balloons inc,AX9 118
ultramagic,S-160
schweizer,SGS1-34
schweizer,SGS136
ayres corp,S2R
ayres,S2R
schweizer,SGS 1-36
piper,PA-22-135
lindstrand balloons,77A
bradshaw,Quicksilver MX II
american eurocopter llc,AS 350 B3
bell,206
schweizer,SGS 2-33AK
lindstrand,69A
glaser dirks,DG300
schempp-hirth,VENTUS-2B
let,L 33 SOLO
buckeye industries,DREAM MACHINE
let,L-23 SUPER BLANIK
schempp-hirth,STANDARD CIRRUS
north wing uum inc,SPORT X2
schweizer,SGS 1-34R
six chuter,SR7 Skye Ryder
cessna,195
lindstrand balloons,90A
schempp-hirth,VENTUS B/16.6
schweizer,SGS 1-23D
excalibur aircraft,Excalibur
aeronca,O-58C
gadbois eugene w,APEX CROSS-5
cessna,150G
ams-flight d.o.o.,DG-500 ELAN ORION
glasflugel,STANDARD LIBELLE
burkhart grob flugzeugbau,G102 CLUB ASTIR IIIB
doktor fiberglas,H101 SALTO
lammers sjef j,APACHE
lindstrand,LBL120A
head balloons inc,AX8-88
schempp-hirth flugzeugbau,DUO DISCUS
schleicher,ASW-28
sikorsky,S76
slingsby,CAPSTAN TYPE 49B
rolladen schneider ohg,LS-3-17
aerostar international inc,S-60A
dg flugzeugbau gmbh,DG 1000S
ica brasov,IS-29D2
lindstrand,LBL180A
raven industries inc,S-66A
firefly balloons inc,FIREFLY 8
avian balloon,MAGNUM IX
jonker sailplanes cc,JS 1B
balloon works,FIREFLY 7-15
bell,206B-III
piper aircraft inc,PA46R-350T
cameron balloons,Z-90
schweizer,SGS233
iar brasov,IS-28B2
eipper,QUICKSILVER
schempp hirth,NIMBUS II
burkhart grob,G 103 TWIN II
smith,APPLEBAY ZUNI II
arbc inc dba lindstrand,180A
schleicher,ASG29-15M
lindstrand balloons,210S
ab sportine aviacija,GENESIS 2
boeing,787
cameron balloons us,Z-105
schleicher,ALEXANDER
cameron balloons us,Z-225
balloon works,FIREFLY 8B-15
schweizer,SGS 1-23H-15
aerostar international inc,RX 8
ultramagic,M-105
ultramagic,N-250
schleicher,ASW-15
kubicek,BB70Z
allstar pzl glider,SZD-54-2 PERKOZ
gulfstream-schweizer,GULFSTREAM AM G 164B
schweizer,SGS 2 33A
rolladen-schneider,LS 6
let,L 23 SUPER BLANIK
grob,G 103 TWIN II
cameron balloons us,V 77
schweizer,SGS 1 26E
cessna,A185F
cameron balloons us,A-400
taylorcraft,BC12 D
schempp-hirth,VENTUS 2B
air tractor inc,AT 602
aircraft industries a.s.,L33 SOLO
linstrand,240A
schleicher alexander,K 7
aero tek inc.,ZUNI
schleicher,ASW 20
eagle,C-7
pzl-swidnik,PW 5
schweizer,SGS 1 34
schempp-hirth,NIMBUS 3/24.5
centrair,101A
alexander schleicher gmbh & co,K 7
air tractor inc,AT-502
cessna,TR182
colt balloons,160A
glasflugel,H 301 B LIBELLE
evektor-aerotechnik as,SPORTSTAR
schleicher,ASW 19B
ultramagic,N250 - NO SERIES
schleicher,ASK 21
hph ltd,304CZ
raytheon,58
six chuter,SR7 XL
embraer-empresa brasileira de,ERJ 170 200 LR
cessna,T210M
beech,36
ultramagic sa,N210
grumman acft eng cor-schweizer,G 164A
let,L23 - NO SERIES
ultramagic,M90 - NO SERIES
head balloons inc.,AX8 105 - NO SERIES
schweizer,SGS 1 26B
schempp-hirth,VENTUS 2C
schweizer,SGS 2 32
balloon works,FIREFLY8 - 24
boeing,737-800
cessna,T310R
luscombe,8E
schleicher,ASW 20B
cessna,206
head,AX9 118
boeing,777
burkhart grob flugzeugbau,G103 TWIN ASTIR
cessna,TU206G
beech,95 B55
embraer,EMB145
rolladen-schneider,LS8
brantly,B 2B
cameron balloons us,Z-150
schleicher,ASW 19
rolladen-schneider ohg,LS3
embraer,ERJ190
